"adap-org/9912003","D'hulst","R. d'Hulst and G.J. Rodgers","Democracy versus Dictatorship in Self-Organized Models of Financial
  Markets","6 pages, 4 figures (included)",,"10.1016/S0378-4371(00)00089-3",,"adap-org nlin.AO",,"  Models to mimic the transmission of information in financial markets are
introduced. As an attempt to generate the demand process, we distinguish
between dictatorship associations, where groups of agents rely on one of them
to make decision, and democratic associations, where each agent takes part in
the group decision. In the dictatorship model, agents segregate into two
distinct populations, while the democratic model is driven towards a critical
state where groups of agents of all sizes exist. Hence, both models display a
level of organization, but only the democratic model is self-organized. We show
that the dictatorship model generates less volatile markets than the democratic
model.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:03:29 GMT""}]","2009-10-31"
"nucl-th/9912036","M. Ploszajczak","A.S.Parvan, V.D.Toneev and M.Ploszajczak","Quantum Statistical Model of Nuclear Multifragmentation in the Canonical
  Ensemble Method","38 pages, 11 figures","Nucl.Phys. A676 (2000) 409-451","10.1016/S0375-9474(00)00203-7",,"nucl-th",,"  A quantum statistical model of nuclear multifragmentation is proposed. The
recurrence equation method used within the canonical ensemble makes the model
solvable and transparent to physical assumptions and allows to get results
without involving the Monte Carlo technique. The model exhibits the first order
phase transition. Quantum statistics effects are clearly seen on the
microscopic level of occupation numbers but are almost washed out for global
thermodynamic variables and the averaged observables studied. In the latter
case, the recurrence relations for multiplicity distributions of both
intermediate-mass and all fragments are derived and the specific changes in the
shape of multiplicity distributions in the narrow region of the transition
temperature is stressed. The temperature domain favorable to search for the HBT
effect is noted.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 17:21:23 GMT""}]","2009-10-31"
"nucl-th/9912037","James B. Elliott","J. B. Elliott and A. S. Hirsch","An investigation of standard thermodynamic quantities as determined via
  models of nuclear multifragmentation","19 two-column format pages with 24 figures","Phys.Rev. C61 (2000) 054605","10.1103/PhysRevC.61.054605","LBNL-44721","nucl-th",,"  Both simple and sophisticated models are frequently used in an attempt to
understand how real nuclei breakup when subjected to large excitation energies,
a process known as nuclear multifragmentation. Many of these models assume
equilibriumthermodynamics and produce results often interpreted as evidence of
a phase transition. This work examines one class of models and employs standard
thermodynamical procedure to explore the possible existence and nature of a
phase transition. The role of various terms, e.g. Coulomb and surface energy,
is discussed.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 19:14:43 GMT""}]","2009-10-31"
"nucl-th/9912038","Charles J. Horowitz","C. J. Horowitz, S. J. Pollock, P. A. Souder, R. Michaels","Parity Violating Measurements of Neutron Densities","38 pages, 7 ps figures, very minor changes, submitted to Phys. Rev. C","Phys.Rev.C63:025501,2001","10.1103/PhysRevC.63.025501",,"nucl-th hep-ph nucl-ex physics.atom-ph",,"  Parity violating electron nucleus scattering is a clean and powerful tool for
measuring the spatial distributions of neutrons in nuclei with unprecedented
accuracy. Parity violation arises from the interference of electromagnetic and
weak neutral amplitudes, and the $Z^0$ of the Standard Model couples primarily
to neutrons at low $Q^2$. The data can be interpreted with as much confidence
as electromagnetic scattering. After briefly reviewing the present theoretical
and experimental knowledge of neutron densities, we discuss possible parity
violation measurements, their theoretical interpretation, and applications. The
experiments are feasible at existing facilities. We show that theoretical
corrections are either small or well understood, which makes the interpretation
clean. The quantitative relationship to atomic parity nonconservation
observables is examined, and we show that the electron scattering asymmetries
can be directly applied to atomic PNC because the observables have
approximately the same dependence on nuclear shape.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 19:50:56 GMT""},{""version"":""v2"",""created"":""Thu, 6 Jan 2000 15:33:05 GMT""}]","2014-11-18"
"nucl-th/9912039","Ryszard Manka","Ilona Bednarek, Ryszard Manka (University of Silesia, Katowice,
  Poland)","The hot neutron star","15 pages, LaTeX2e, 3 eps figures, to appear in Physica Scripta",,"10.1238/Physica.Regular.061a00544","AstroUSl-99-1","nucl-th",,"  In this paper the equation of state of hot neutron matter is calculated.
  Involving the Oppenheimer-Volkov-Tolman equation global parameters of a
neutron star at the finite temperature are obtained. The objective of our work
was to study the influence of the temperature on the main parameters of a
neutron star.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 22:24:25 GMT""}]","2016-09-08"
"physics/9912032","Andreas Fring","C. Figueira de Morisson Faria, A. Fring and R. Schrader","Stabilization not for certain and the usefulness of bounds","12 pages Latex","Proc. 8-th Int. Conf. on Multiphothon Processes, ed. L.F. DiMauro
  et.al. (1999) 150",,,"physics.atom-ph",,"  Stabilization is still a somewhat controversial issue concerning its very
existence and also the precise conditions for its occurrence. The key quantity
to settle these questions is the ionization probability, for which hitherto no
computational method exists which is entirely agreed upon. It is therefore very
useful to provide various consistency criteria which have to be satisfied by
this quantity, whose discussion is the main objective of this contribution. We
show how the scaling behaviour of the space leads to a symmetry in the
ionization probability, which can be exploited in the mentioned sense.
Furthermore, we discuss how upper and lower bounds may be used for the same
purpose. Rather than concentrating on particular analytical expressions we
obtained elsewhere for these bounds, we focus in our discussion on the general
principles of this method. We illustrate the precise working of this procedure,
its advantages, shortcomings and range of applicability. We show that besides
constraining possible values for the ionization probability these bounds, like
the scaling behaviour, also lead to definite statements concerning the physical
outcome. The pulse shape properties which have to be satitisfied for the
existence of asymptotical stabilization is the vanishing of the total classical
momentum transfer and the total classical displacement and not smoothly
switched on and off pulses. Alternatively we support our results by general
considerations in the Gordon-Volkov perturbation theory and explicit studies of
various pulse shapes and potentials including in particular the Coulomb- and
the delta potential.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 15:07:18 GMT""}]","2007-05-23"
"quant-ph/9912076","Michal Horodecki","Michal Horodecki, Pawel Horodecki and Ryszard Horodecki","Erratum: Asymptotic entanglement manipulations can be genuinely
  irreversible. [Phys. Rev. Lett. {\bf 84}, 4260 (2000)]","1 page, added date of Werner's earlier proof of bound for distillable
  entanglement (Benasque, 1998)",,,,"quant-ph",,"  This is erratum of the paper [Phys. Rev. Lett. {\bf 84}, 4260 (2000)]
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 20:44:15 GMT""},{""version"":""v2"",""created"":""Tue, 21 Dec 1999 16:43:20 GMT""},{""version"":""v3"",""created"":""Mon, 5 Mar 2001 18:07:19 GMT""},{""version"":""v4"",""created"":""Thu, 11 Oct 2001 16:34:10 GMT""}]","2007-05-23"
"quant-ph/9912077","A. G. Kofman","A. G. Kofman and G. Kurizki","The Zeno and anti-Zeno effects on decay in dissipative quantum systems","8 pages, 5 figures","acta physica slovaca 49 (1999) 541-548 (the title there is ``Decay
  control in dissipative quantum systems'')",,,"quant-ph",,"  We point out that the quantum Zeno effect, i.e., inhibition of spontaneous
decay by frequent measurements, is observable only in spectrally finite
reservoirs, i.e., in cavities and waveguides, using a sequence of
evolution-interrupting pulses or randomly-modulated CW fields. By contrast,
such measurements can only accelerate decay in free space.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 09:03:01 GMT""}]","2007-05-23"
"quant-ph/9912078","Theor. Phys. Group","Qiong-gui Lin","Levinson theorem for Dirac particles in one dimension","REVTeX, 17 pages, no figure","Eur. Phys. J. D 7 (1999) 515-524","10.1007/s100530050379",,"quant-ph",,"  The scattering of Dirac particles by symmetric potentials in one dimension is
studied. A Levinson theorem is established. By this theorem, the number of
bound states with even (odd) parity, $n_+$ ($n_-$), is related to the phase
shifts $\eta_+(\pm E_k)$ [$\eta_-(\pm E_k)$] of scattering states with the same
parity at zero momentum as follows: $$\eta_\pm(\mu)+\eta_\pm(-\mu)\pm{\pi\over
2}[\sin^2\eta_\pm(\mu) -\sin^2\eta_\pm(-\mu)]=n_\pm\pi.$$ The theorem is
verified by several simple examples.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 11:00:01 GMT""}]","2009-10-31"
"quant-ph/9912079","Miloslav Znojil","Miloslav Znojil","New set of exactly solvable complex potentials giving the real energies","submitted to Phys. Rev. A",,,,"quant-ph",,"  We deform the real potential of Poeschl and Teller by a shift of its
coordinate in imaginary direction. We show that the new model remains exactly
solvable. Its bound states are constructed in closed form. Wave functions are
complex and proportional to Jacobi polynomials. Some of them diverge in the
Hermitian limit. In contrast, all their energies prove real and
shift-independent. In this sense the lost Hermiticity of our family of
Hamiltonians seems replaced by their accidental PT symmetry.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 11:01:52 GMT""}]","2007-05-23"
"solv-int/9912010","Olaf Lechtenfeld","Olaf Lechtenfeld, Alexander Sorin","Real forms of the complex twisted N=2 supersymmetric Toda chain
  hierarchy in real N=1 and twisted N=2 superspaces",,"J.Nonlin.Math.Phys. 7 (2000) 433-444","10.2991/jnmp.2000.7.4.3","JNMP 4/2002 (Letter)","solv-int hep-th math-ph math.MP nlin.SI",,"  Three nonequivalent real forms of the complex twisted N=2 supersymmetric Toda
chain hierarchy (solv-int/9907021) in real N=1 superspace are presented. It is
demonstrated that they possess a global twisted N=2 supersymmetry. We discuss a
new superfield basis in which the supersymmetry transformations are local.
Furthermore, a representation of this hierarchy is given in terms of two
twisted chiral N=2 superfields. The relations to the s-Toda hierarchy by H.
Aratyn, E. Nissimov and S. Pacheva (solv-int/9801021) as well as to the
modified and derivative NLS hierarchies are established.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 19:15:16 GMT""},{""version"":""v2"",""created"":""Sat, 20 May 2000 17:20:55 GMT""},{""version"":""v3"",""created"":""Sun, 1 Oct 2000 00:00:00 GMT""}]","2017-02-08"
